url,date_posted,location,type,qualification,position,minimum_experience,sector,workers,miscellaneous,skills,min_salary,max_salary,avg_salary,locations,qualifications,miscellaneouses
https://www.jobstreet.co.id/id/job/data-engineer-4387105?jobId=jobstreet-id-job-4387105&sectionRank=648&token=0~e9a5486f-7c2b-41fb-8d28-03a861025192&fr=SRP%20Job%20Listing,2023-06-27,Jakarta Barat,Penuh Waktu,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Pegawai (non-manajemen & non-supervisor),2,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1001 - 2000,"Asuransi kesehatan, Parkir, Senin - Jumat, Bisnis (contoh: Kemeja)","['SQL', 'T-SQL', 'SSIS', 'coding', 'Talend Studio', 'DBMS', 'data warehousing', 'data mart', 'data analysis', 'data visualization', 'Power BI']",,,,['Jakarta Barat'],"['Sarjana (S1)', 'Diploma Pascasarjana', 'Gelar Professional', 'Magister (S2)']","['Asuransi kesehatan', 'Parkir', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/qa-engineer-sql-ib-1036273185?jobId=jobstreet-id-job-1036273185&sectionRank=694&token=0~c36f667e-9705-4ba7-a749-c5fb1cd832b2&fr=SRP%20Job%20Listing,2023-06-26,,Penuh Waktu,,,,,,,"['SQL', 'coding', 'Python', 'Java', 'Javascript', 'shell scripting', 'DBMS', 'data analysis', 'data visualization', 'node', 'jira', 'problem-solving skills', 'critical thinking']",,,,,,
https://www.jobstreet.co.id/id/job/data-engineer-1036273034?jobId=jobstreet-id-job-1036273034&sectionRank=697&token=0~c36f667e-9705-4ba7-a749-c5fb1cd832b2&fr=SRP%20Job%20Listing,2023-06-26,Bali,Penuh Waktu,,,,,,,"['coding', 'Python', 'Java', 'C#', 'REST API', 'data analysis', 'data visualization', 'Power BI', 'Tableau', 'QlikView', 'communication skills', 'problem-solving skills', 'team player', 'independent worker']",,,,['Bali'],,
https://www.jobstreet.co.id/id/job/it-database-administrator-officer-4384861?jobId=jobstreet-id-job-4384861&sectionRank=717&token=0~c36f667e-9705-4ba7-a749-c5fb1cd832b2&fr=SRP%20Job%20Listing,2023-06-26,Jakarta Pusat,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),2,Perbankan/Pelayanan Keuangan,501 - 1000,"Asuransi Gigi, Asuransi kesehatan, Pinjaman, Penglihatan, Senin - Jumat, Bisnis (contoh: Kemeja), Personal Accident Insurance","['SQL', 'T-SQL', 'SSIS', 'DBMS', 'data warehousing', 'data visualization', 'good attitude', 'problem-solving skills']",,,,['Jakarta Pusat'],['Sarjana (S1)'],"['Asuransi Gigi', 'Asuransi kesehatan', 'Pinjaman', 'Penglihatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Personal Accident Insurance']"
https://www.jobstreet.co.id/id/job/data-engineer-4374592?jobId=jobstreet-id-job-4374592&sectionRank=729&token=0~6b4f653f-4c58-425a-9493-91901171c18b&fr=SRP%20Job%20Listing,2023-06-25,Jakarta Selatan,Penuh Waktu,Sarjana (S1),Supervisor/Koordinator,2,Kesehatan/Medis,2001 - 5000,"Tunjangan Pendidikan, Tip, Penglihatan, Senin - Jumat, Medical Insurance, Kasual (contoh: Kaos)","['SQL', 'T-SQL', 'SSIS', 'MySQL', 'DBMS', 'data warehousing', 'data analysis', 'data visualization', 'DAX', 'Power BI', 'QlikView', 'project management skills']",,,,['Jakarta Selatan'],['Sarjana (S1)'],"['Tunjangan Pendidikan', 'Tip', 'Penglihatan', 'Senin - Jumat', 'Medical Insurance', 'Kasual (contoh: Kaos)']"
https://www.jobstreet.co.id/id/job/data-engineer-banking-company-1036249129?jobId=jobstreet-id-job-1036249129&sectionRank=742&token=0~6b4f653f-4c58-425a-9493-91901171c18b&fr=SRP%20Job%20Listing,2023-06-23,Jakarta Raya,Kontrak,,,,Konsultasi (Bisnis & Manajemen),51 - 200,"Tip, Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja), Attractive Salary, THR, BPJS, Annual & Sick Leaves","['SQL', 'T-SQL', 'MySQL', 'PostgreSQL', 'Python', 'AWS', 'AWS Redshift', 'IBM', 'IBM DB2', 'REST API', 'DBMS', 'data warehousing', 'Tableau', 'agile', 'project management skills']",,,,['Jakarta Raya'],,"['Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Attractive Salary', 'THR', 'BPJS', 'Annual & Sick Leaves']"
https://www.jobstreet.co.id/id/job/data-engineer-intern-1036249431?jobId=jobstreet-id-job-1036249431&sectionRank=746&token=0~6b4f653f-4c58-425a-9493-91901171c18b&fr=SRP%20Job%20Listing,2023-06-23,Jakarta Raya,Magang,,,,,,,"['SQL', 'Python', 'GCP', 'Airflow', 'DBMS', 'data warehousing', 'data analysis', 'agile', 'communication skills', 'project management skills']",,,,['Jakarta Raya'],,
https://www.jobstreet.co.id/id/job/it-data-warehouse-engineer-4383694?jobId=jobstreet-id-job-4383694&sectionRank=753&token=0~78a7e85a-6639-4c47-9168-57e623b3c8b9&fr=SRP%20Job%20Listing,2023-06-23,Jakarta Raya,Kontrak,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),2,Konsultasi (Bisnis & Manajemen),501 - 1000,"Asuransi Gigi, Tunjangan Pendidikan, Tip, Asuransi kesehatan, Pinjaman, Olahraga (contoh: pusat kebugaran), Penglihatan, Senin - Jumat, Bisnis (contoh: Kemeja)","['Hadoop', 'Cloudera', 'OCI', 'Talend Studio', 'DBMS', 'data warehousing', 'CDC', 'EDW']",8000000,12000000,10000000.0,['Jakarta Raya'],['Sarjana (S1)'],"['Asuransi Gigi', 'Tunjangan Pendidikan', 'Tip', 'Asuransi kesehatan', 'Pinjaman', 'Olahraga (contoh: pusat kebugaran)', 'Penglihatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/data-engineer-4383676?jobId=jobstreet-id-job-4383676&sectionRank=755&token=0~78a7e85a-6639-4c47-9168-57e623b3c8b9&fr=SRP%20Job%20Listing,2023-06-23,Jakarta Raya,Kontrak,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),2,Konsultasi (Bisnis & Manajemen),501 - 1000,"Asuransi Gigi, Tunjangan Pendidikan, Tip, Asuransi kesehatan, Pinjaman, Olahraga (contoh: pusat kebugaran), Penglihatan, Senin - Jumat, Bisnis (contoh: Kemeja)","['SQL', 'PostgreSQL', 'MariaDB', 'OCI', 'DBMS', 'data warehousing', 'data analysis']",,,,['Jakarta Raya'],['Sarjana (S1)'],"['Asuransi Gigi', 'Tunjangan Pendidikan', 'Tip', 'Asuransi kesehatan', 'Pinjaman', 'Olahraga (contoh: pusat kebugaran)', 'Penglihatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/engineering-lead-4383068?jobId=jobstreet-id-job-4383068&sectionRank=774&token=0~78a7e85a-6639-4c47-9168-57e623b3c8b9&fr=SRP%20Job%20Listing,2023-06-23,Jakarta Barat,Penuh Waktu,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Supervisor/Koordinator,3,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200,"Asuransi kesehatan, Senin - Jumat, Kasual (contoh: Kaos)","['SQL', 'T-SQL', 'SSIS', 'shell scripting', 'Linux', 'VCS', 'SCM', 'Git', 'Bitbucket', 'SVN', 'Talend Studio', 'DBMS', 'data warehousing', 'data analysis', 'team player']",,,,['Jakarta Barat'],"['Sertifikat Professional', 'D3 (Diploma)', 'D4 (Diploma)', 'Sarjana (S1)']","['Asuransi kesehatan', 'Senin - Jumat', 'Kasual (contoh: Kaos)']"
https://www.jobstreet.co.id/id/job/data-engineer-banking-1036243038?jobId=jobstreet-id-job-1036243038&sectionRank=809&token=0~0ab77bd4-4c83-46db-b221-ce8d6f76b6ae&fr=SRP%20Job%20Listing,2023-06-22,Tangerang,Penuh Waktu,,,,Konsultasi (Bisnis & Manajemen),51 - 200,"Tip, Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja), Attractive Salary, THR, BPJS, Annual & Sick Leaves","['DBMS', 'data analysis']",,,,['Tangerang'],,"['Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Attractive Salary', 'THR', 'BPJS', 'Annual & Sick Leaves']"
https://www.jobstreet.co.id/id/job/data-engineer-4381821?jobId=jobstreet-id-job-4381821&sectionRank=826&token=0~d36a3f93-bac4-4031-8bd2-8f94ed94d49e&fr=SRP%20Job%20Listing,2023-06-22,Jakarta Raya,Kontrak,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),1,Konsultasi (Bisnis & Manajemen),201 - 500,"Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja)","['SQL', 'T-SQL', 'coding', 'containerization', 'REST API', 'DBMS', 'data warehousing', 'data mart', 'data modeling']",,,,['Jakarta Raya'],['Sarjana (S1)'],"['Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/advanced-data-engineer-4380549?jobId=jobstreet-id-job-4380549&sectionRank=835&token=0~d36a3f93-bac4-4031-8bd2-8f94ed94d49e&fr=SRP%20Job%20Listing,2023-06-21,Jakarta Raya,Penuh Waktu,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Pegawai (non-manajemen & non-supervisor),2,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200,"Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja)","['SQL', 'T-SQL', 'SSAS', 'SSIS', 'SSRS', 'DBMS', 'data warehousing', 'data modeling', 'data analysis', 'data visualization', 'communication skills', 'problem-solving skills']",8700000,11700000,10200000.0,['Jakarta Raya'],"['Sarjana (S1)', 'Diploma Pascasarjana', 'Gelar Professional', 'Magister (S2)']","['Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/jr-data-engineer-1036231602?jobId=jobstreet-id-job-1036231602&sectionRank=837&token=0~d36a3f93-bac4-4031-8bd2-8f94ed94d49e&fr=SRP%20Job%20Listing,2023-06-21,Jakarta Raya,Penuh Waktu,,,,,,,"['SQL', 'Python', 'AWS', 'GCP', 'Kafka', 'Airflow', 'DBMS', 'data analysis', 'data visualization', 'adaptable']",,,,['Jakarta Raya'],,
https://www.jobstreet.co.id/id/job/sr.-data-engineer-1036231800?jobId=jobstreet-id-job-1036231800&sectionRank=838&token=0~d36a3f93-bac4-4031-8bd2-8f94ed94d49e&fr=SRP%20Job%20Listing,2023-06-21,Jakarta Raya,Penuh Waktu,,,,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200,"Asuransi kesehatan, Senin - Jumat, Kasual (contoh: Kaos)","['SQL', 'MySQL', 'PostgreSQL', 'PL-SQL', 'NoSQL', 'MongoDB', 'coding', 'Python', 'Hadoop', 'Hive', 'Pig', 'Kafka', 'Spark', 'Talend Studio', 'REST API', 'DBMS', 'data modeling', 'data visualization', 'Power BI', 'Tableau', 'communication skills', 'adaptable']",,,,['Jakarta Raya'],,"['Asuransi kesehatan', 'Senin - Jumat', 'Kasual (contoh: Kaos)']"
https://www.jobstreet.co.id/id/job/jr-data-engineer-1036231602?jobId=jobstreet-id-job-1036231602&sectionRank=853&token=0~236a5223-bfd1-492a-99d6-112187addc58&fr=SRP%20Job%20Listing,2023-06-21,Jakarta Raya,Penuh Waktu,,,,,,,"['SQL', 'Python', 'AWS', 'GCP', 'Kafka', 'Airflow', 'DBMS', 'data analysis', 'data visualization', 'adaptable']",,,,['Jakarta Raya'],,
https://www.jobstreet.co.id/id/job/junior-officer-data-engineer-4380308?jobId=jobstreet-id-job-4380308&sectionRank=872&token=0~c3f5861e-9faa-4bf2-b641-71445b8b7a72&fr=SRP%20Job%20Listing,2023-06-21,Jakarta Raya,Kontrak,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),1,Kesehatan/Medis,1001 - 2000,"Asuransi Gigi, Asuransi kesehatan, Penglihatan, Senin - Jumat, Bisnis (contoh: Kemeja)","['SQL', 'PostgreSQL', 'OCI', 'Oracle Toad', 'Pentaho', 'DBMS', 'data warehousing', 'team player']",,,,['Jakarta Raya'],['Sarjana (S1)'],"['Asuransi Gigi', 'Asuransi kesehatan', 'Penglihatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/data-architecture-modelling-leasing-company-1036219970?jobId=jobstreet-id-job-1036219970&sectionRank=887&token=0~c3f5861e-9faa-4bf2-b641-71445b8b7a72&fr=SRP%20Job%20Listing,2023-06-20,Jakarta Raya,Penuh Waktu,,,,Konsultasi (Bisnis & Manajemen),51 - 200,"Tip, Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja), Attractive Salary, THR, BPJS, Annual & Sick Leaves","['NoSQL', 'Python']",,,,['Jakarta Raya'],,"['Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Attractive Salary', 'THR', 'BPJS', 'Annual & Sick Leaves']"
https://www.jobstreet.co.id/id/job/sr.-data-engineer-1036219951?jobId=jobstreet-id-job-1036219951&sectionRank=896&token=0~c3f5861e-9faa-4bf2-b641-71445b8b7a72&fr=SRP%20Job%20Listing,2023-06-20,,Penuh Waktu,,,,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",51 - 200,"Tip, Kasual (contoh: Kaos), Senin - Jumat","['SQL', 'T-SQL', 'MySQL', 'PostgreSQL', 'NoSQL', 'MongoDB', 'Cassandra', 'Python', 'Java', 'PHP', 'Go', 'Hadoop', 'Hive', 'Impala', 'Presto', 'AWS', 'AWS EKS', 'GCP', 'GKE', 'Google Anthos', 'containerization', 'Docker', 'Kubernetes', 'Ansible', 'Terraform', 'Kafka', 'Flink', 'Storm', 'Spark', 'REST API', 'DBMS', 'data warehousing', 'data modeling', 'communication skills']",,,,,,"['Tip', 'Kasual (contoh: Kaos)', 'Senin - Jumat']"
https://www.jobstreet.co.id/id/job/it-database-administrator-staff-leasing-a-95613-4379349?jobId=jobstreet-id-job-4379349&sectionRank=905&token=0~800316cf-f1eb-409b-8e66-b3f448e5d352&fr=SRP%20Job%20Listing,2023-06-20,Jakarta Pusat,Penuh Waktu,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Pegawai (non-manajemen & non-supervisor),1,Manajemen/Konsulting HR,1- 50,"Asuransi kesehatan, Penglihatan, Senin - Jumat, Bisnis (contoh: Kemeja)","['SQL', 'T-SQL', 'SSIS', 'DBMS', 'data warehousing', 'data visualization', 'good attitude', 'problem-solving skills', 'english']",7000000,10000000,8500000.0,['Jakarta Pusat'],"['Sarjana (S1)', 'Diploma Pascasarjana', 'Gelar Professional', 'Magister (S2)']","['Asuransi kesehatan', 'Penglihatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/data-engineer-%5B-junior-%5D-4379337?jobId=jobstreet-id-job-4379337&sectionRank=906&token=0~800316cf-f1eb-409b-8e66-b3f448e5d352&fr=SRP%20Job%20Listing,2023-06-20,Jakarta Utara,Penuh Waktu,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Pegawai (non-manajemen & non-supervisor),1,Properti/Real Estate,Lebih dari 5000,"Asuransi Gigi, Tip, Asuransi kesehatan, Pinjaman, Parkir, Senin - Jumat, Bisnis (contoh: Kemeja), Marriage, Child Birth","['SQL', 'T-SQL', 'DBMS', 'ERP']",,,,['Jakarta Utara'],"['Sertifikat Professional', 'D3 (Diploma)', 'D4 (Diploma)', 'Sarjana (S1)', 'Diploma Pascasarjana', 'Gelar Professional', 'Magister (S2)']","['Asuransi Gigi', 'Tip', 'Asuransi kesehatan', 'Pinjaman', 'Parkir', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Marriage', 'Child Birth']"
https://www.jobstreet.co.id/id/job/database-administrator-engineer-4378705?jobId=jobstreet-id-job-4378705&sectionRank=918&token=0~800316cf-f1eb-409b-8e66-b3f448e5d352&fr=SRP%20Job%20Listing,2023-06-20,Jakarta Raya,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),3,Perbankan/Pelayanan Keuangan,,,"['SQL', 'MySQL', 'TDSQL', 'MariaDB', 'coding', 'OCI', 'REST API', 'DBMS', 'problem-solving skills', 'discipline', 'english']",,,,['Jakarta Raya'],['Sarjana (S1)'],
https://www.jobstreet.co.id/id/job/database-administrator-engineer-1036195432?jobId=jobstreet-id-job-1036195432&sectionRank=973&token=0~073a74aa-7807-4500-8607-51f8e71b01c5&fr=SRP%20Job%20Listing,2023-06-18,Jakarta Raya,Penuh Waktu,,,,Perbankan/Pelayanan Keuangan,,,"['SQL', 'MySQL', 'TDSQL', 'MariaDB', 'coding', 'OCI', 'REST API', 'DBMS', 'problem-solving skills', 'project management skills', 'discipline', 'adaptable', 'english']",,,,['Jakarta Raya'],,
